[0525/155721.295:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x28f400195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155726.748:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x28f40019ba00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155726.921:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x28f400195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/155727.016:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x28f400195400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/160312.117:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7224001a3a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/160317.209:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x72240019d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/160317.471:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x72240019d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/160319.673:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x7224001a3a00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/161348.942:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x443c001a5c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/161354.423:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x443c001a3e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/161354.763:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x443c001a3e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/161357.845:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x443c001a5c00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0525/161536.141:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa1c00192e00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0525/161541.264:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa1c0018d400]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
